"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.7472648	0.0145174	0.2768379	0.5924924	0.1137333	0.4199753	0.6704619	0.7873434	0.5851015	0.6379321
0.1952416	0.0666675	0.4668403	0.7665067	0.5201448	0.2495804	0.3279500	0.7170845	0.7695890	0.6548019
0.7684065	0.1396432	0.1299352	0.6305152	0.0016216	0.2795217	0.5784058	0.6209451	0.5909760	0.6678004
0.4200291	0.1071710	0.3394158	0.6284330	0.2198180	0.3295082	0.6401604	0.6728220	0.4711612	0.8043124
0.6475681	0.0236604	0.3494707	0.5407625	0.0477348	0.1340377	0.5038767	0.4542435	0.6125342	0.6828942
0.2203427	0.1879857	0.3618787	0.5945139	0.4412289	0.3384261	0.4117165	0.5654680	0.6212083	0.7913979
0.6844843	0.1317679	0.1523321	0.7433527	0.1428599	0.3288338	0.6494312	0.7461721	0.8482142	0.6229009
0.5129848	0.1413919	0.4101096	0.6492221	0.0628648	0.3404475	0.4030242	0.6686166	0.7033350	0.6574417
0.6793074	0.2225431	0.4616032	0.6674869	0.0319569	0.6963535	0.4223407	0.0246885	0.7339145	0.7638362
0.4114508	0.2648979	0.5387698	0.7322079	0.2660955	0.6220112	0.1792414	0.1225288	0.6937271	0.8356205
